account_id,num_services,num_services_active,num_services_inactive,cc_service_count,db_service_count,nlp_service_count,cc_pro_service_count,ml_service_count,integrations_count,third_party_integrations,num_businesses,tier_level,account_type,enterprise_account,enterprise_account_legacy,is_activated,has_cloud_storage,has_cloud_storage_only,account_size,third_party_integration_flag,first_party_ord,account_created_time,first_activated_time,min_bill_date,max_bill_date,sticky_bill_date,address,marketing_campaign_response
1168239,7,2,0,0,0,0,0,0,108,0,,PREMIUM_PLUS,Services,FALSE,FALSE,TRUE,FALSE,FALSE,,1,1,4/4/16 19:17,6/12/16 23:08,6/5/16,3/18/21,7/12/16,"906 Cindy Trafficway Suite 948, AZ, US",1
6076186,10,4,0,0,0,2,0,0,84,0,16,LITE,Business_type_1,FALSE,FALSE,TRUE,FALSE,FALSE,medium,1,,11/16/20 14:22,11/10/20 14:55,11/24/20,3/6/21,10/30/20,"9093 Taylor Greens Apt. 852, FL, US",1
3254220,0,0,0,0,0,0,0,0,90,0,,PREMIUM_PLUS,Services,FALSE,FALSE,FALSE,FALSE,FALSE,small,2,,4/30/18 15:01,,4/28/18,11/8/18,5/21/18,"5161 Wilson Summit, SC, US",0
4446927,5,10,0,0,0,6,0,0,260,1,,PREMIUM,Business_type_1,FALSE,FALSE,TRUE,FALSE,FALSE,,2,,6/5/19 15:54,6/8/19 19:59,5/30/19,2/9/21,,"8986 Michelle Falls, FL, US",1
3845495,7,1,0,0,0,0,0,0,108,21,,LITE,Business_type_1,FALSE,FALSE,TRUE,FALSE,FALSE,large,1,2,12/17/18 5:13,1/8/19 15:39,12/16/18,3/15/21,2/21/19,"71039 Burns Prairie, FL, US",1
1143164,0,0,0,0,0,0,0,0,152,0,,BASIC,Services,FALSE,FALSE,FALSE,FALSE,FALSE,,1,,4/3/16 18:27,,4/27/16,9/11/17,6/17/16,"241 Silva Cliff Apt. 360, NM, US",0
2369497,0,0,0,0,0,0,0,0,46,0,,PREMIUM,Services,FALSE,FALSE,FALSE,TRUE,TRUE,,1,,7/10/17 13:13,,7/22/17,3/11/19,4/8/18,"265 Michael Radial Apt. 875, CA, US",0
913424,0,0,0,0,0,0,0,0,38,0,,PREMIUM,Customer,FALSE,FALSE,FALSE,TRUE,TRUE,,1,,1/26/16 11:52,,2/8/16,5/27/19,2/3/16,"6094 John Prairie, SC, US",0
148031,40,32,0,24,7,0,0,0,144,0,24,BASIC,Business_type_1,FALSE,FALSE,TRUE,TRUE,FALSE,large,2,,10/9/14 21:40,11/7/14 22:02,11/15/14,12/31/19,1/15/15,"7816 Elizabeth Haven Suite 272, VA, US",1
1102841,3,5,0,0,0,0,0,0,32,0,2,PREMIUM,Services,FALSE,FALSE,TRUE,TRUE,FALSE,,1,,3/24/16 21:31,3/24/16 14:21,4/22/16,8/16/19,4/22/16,"617 Dickson Ridge Apt. 826, MN, US",0
3974339,3,2,0,0,0,3,0,0,76,0,20,PREMIUM_PLUS,Services,FALSE,FALSE,TRUE,FALSE,FALSE,,2,1,1/28/19 7:46,2/12/19 22:25,1/13/19,3/12/21,1/18/19,"74149 Rebecca Tunnel, AZ, US",1
2456902,0,0,0,0,0,0,0,0,207,0,,PREMIUM,Customer,FALSE,FALSE,FALSE,TRUE,TRUE,,1,,8/29/17 14:26,,8/19/17,3/8/20,9/9/17,"5624 Escobar Place, TX, US",0
603384,0,0,0,0,0,0,0,0,36,0,16,PREMIUM_PLUS,Business_type_1,FALSE,FALSE,FALSE,TRUE,TRUE,small,1,,10/5/15 17:44,,5/12/16,5/31/19,5/19/16,"42640 Karen Island, FL, US",0
5395857,5,1,0,0,0,6,0,0,98,0,,PREMIUM_PLUS,Customer,FALSE,FALSE,TRUE,FALSE,FALSE,,2,1,3/20/20 19:42,3/24/20 17:23,2/29/20,4/8/21,2/27/20,"9203 Perez Views Suite 388, ON, CA",1
4911127,8,9,0,0,0,0,0,0,210,7,616,PREMIUM_PLUS,Customer,FALSE,FALSE,TRUE,FALSE,FALSE,,1,1,11/1/19 19:24,11/14/19 14:56,10/17/19,3/23/21,11/22/19,"7421 Mariah Isle Apt. 552, NY, US",1
3577256,10,14,0,0,0,0,16,0,297,30,10,PREMIUM,Business_type_1,FALSE,FALSE,TRUE,FALSE,FALSE,large,1,2,8/20/18 1:11,10/22/18 17:44,9/8/18,4/10/21,12/30/18,"5626 Jerry Trafficway, WA, US",1
1194779,0,0,0,0,0,0,0,0,140,0,,PREMIUM,Customer,FALSE,FALSE,FALSE,TRUE,TRUE,,1,,4/11/16 17:16,,6/23/16,2/16/21,6/4/16,"6409 Cathy Trace, NY, US",0
5213925,10,2,0,0,0,0,0,0,147,8,,PREMIUM_PLUS,Services,FALSE,FALSE,TRUE,FALSE,FALSE,,2,1,1/31/20 21:23,1/31/20 22:16,2/21/20,3/23/21,2/27/20,"48399 Christopher Keys Apt. 044, CA, US",1
1018304,0,0,0,0,0,0,0,0,171,0,,PREMIUM,Customer,FALSE,FALSE,FALSE,TRUE,TRUE,,1,,2/20/16 20:57,,2/16/16,4/19/16,2/29/16,"19480 Bates Keys Apt. 828, CA, US",0
1074081,0,0,0,0,0,0,0,0,190,0,32,PREMIUM,Services,FALSE,FALSE,FALSE,TRUE,TRUE,,1,,3/30/16 21:11,,4/10/16,3/23/16,,"47556 Gary Rue, MD, US",0
167299,32,12,0,9,5,0,0,0,68,1,,BASIC,Business_type_1,FALSE,FALSE,TRUE,TRUE,FALSE,large,2,,11/18/14 0:47,11/1/14 20:43,11/20/14,4/5/21,11/10/14,"84075 Thomas Meadows Suite 304, NJ, US",1
1320575,0,0,0,0,0,0,0,0,20,0,396,PREMIUM,Customer,FALSE,FALSE,FALSE,TRUE,TRUE,small,1,,6/26/16 21:41,,3/26/17,2/17/18,4/23/17,"429 Lane Lights, FL, US",0
309393,14,18,0,0,0,0,0,0,170,32,,PREMIUM,Business_type_1,FALSE,FALSE,TRUE,FALSE,FALSE,large,2,2,5/25/15 22:36,6/20/15 21:20,5/19/15,3/3/21,8/4/15,"20733 Tammy Mountain Suite 475, TX, US",1
2384027,0,0,0,0,0,0,0,0,125,0,64,BASIC,Business_type_1,FALSE,FALSE,FALSE,TRUE,TRUE,small,1,,7/6/17 21:10,,6/26/17,7/25/17,7/30/17,"0754 Black Island Apt. 750, WA, US",0
